Grid_Number,Del_popu_Government_Facilities
1620,17888.0
1621,28198.0
1622,5169.0
1623,14624.0
1624,7631.0
1625,34932.0
1626,34932.0
1627,14833.0
1628,15615.0
1629,16952.0
1630,998.0
1631,2133.0
1632,1986.0
1633,6523.0
1634,3876.0
1635,1930.0
1636,4809.0
1637,1360.0
1638,9442.0
1639,9442.0
1640,2842.0
1641,2505.0
1642,2108.0
1643,4318.0
1644,2607.0
1645,9863.0
1646,3345.0
1647,2940.0
1648,7358.0
1649,3822.0
1650,5178.0
1651,10326.0
1652,11923.0
1653,14940.0
1654,5876.0
1655,1639.0
1656,9660.0
1657,9660.0
1658,12207.0
1659,17169.0
1660,17169.0
1661,-1.0
1662,-1.0
1663,-1.0
1664,-1.0
1665,-1.0
1666,-1.0
1667,1604.0
1668,22862.0
1669,28198.0
1670,28198.0
1671,10356.0
1672,19591.0
1673,28626.0
1674,28626.0
1675,12672.0
1676,11670.0
1677,2645.0
1678,4269.0
1679,2465.0
1680,2334.0
1681,944.0
1682,9516.0
1683,5314.0
1684,10570.0
1685,5734.0
1686,1769.0
1687,876.0
1688,9203.0
1689,9203.0
1690,2484.0
1691,4853.0
1692,5943.0
1693,3936.0
1694,955.0
1695,3765.0
1696,8176.0
1697,3902.0
1698,4302.0
1699,5844.0
1700,8796.0
1701,15488.0
1702,14940.0
1703,9737.0
1704,8765.0
1705,8765.0
1706,8765.0
1707,12207.0
1708,17169.0
1709,17169.0
1710,-1.0
1711,-1.0
1712,-1.0
1713,-1.0
1714,-1.0
1715,-1.0
1716,1604.0
1717,22862.0
1718,22862.0
1719,23890.0
1720,23890.0
1721,29090.0
1722,28626.0
1723,17401.0
1724,8469.0
1725,7040.0
1726,5354.0
1727,3083.0
1728,2139.0
1729,5202.0
1730,4674.0
1731,2925.0
1732,4644.0
1733,11250.0
1734,8351.0
1735,2479.0
1736,4184.0
1737,0.0
1738,971.0
1739,828.0
1740,4297.0
1741,7311.0
1742,3939.0
1743,11996.0
1744,5379.0
1745,5859.0
1746,2628.0
1747,16505.0
1748,10880.0
1749,4337.0
1750,5098.0
1751,10614.0
1752,4656.0
1753,8765.0
1754,8765.0
1755,-1.0
1756,-1.0
1757,-1.0
1758,-1.0
1759,-1.0
1760,-1.0
1761,-1.0
1762,-1.0
1763,-1.0
1764,-1.0
1765,1604.0
1766,22862.0
1767,19481.0
1768,19481.0
1769,13092.0
1770,23176.0
1771,30337.0
1772,30337.0
1773,6375.0
1774,20007.0
1775,5354.0
1776,4707.0
1777,7705.0
1778,5303.0
1779,2863.0
1780,4400.0
1781,1782.0
1782,8828.0
1783,6847.0
1784,3092.0
1785,3673.0
1786,11105.0
1787,9523.0
1788,8316.0
1789,2929.0
1790,5130.0
1791,4440.0
1792,5624.0
1793,2583.0
1794,3453.0
1795,5310.0
1796,9493.0
1797,2642.0
1798,5521.0
1799,4156.0
1800,9856.0
1801,9856.0
1802,-1.0
1803,-1.0
1804,28285.0
1805,-1.0
1806,-1.0
1807,-1.0
1808,-1.0
1809,-1.0
1810,-1.0
1811,-1.0
1812,-1.0
1813,-1.0
1814,4135.0
1815,4135.0
1816,19481.0
1817,19481.0
1818,13092.0
1819,23176.0
1820,30337.0
1821,30337.0
1822,34339.0
1823,8761.0
1824,14296.0
1825,803.0
1826,2977.0
1827,6698.0
1828,4443.0
1829,5671.0
1830,8512.0
1831,11932.0
1832,12827.0
1833,8346.0
1834,5726.0
1835,6288.0
1836,4052.0
1837,3527.0
1838,6867.0
1839,6440.0
1840,2419.0
1841,7855.0
1842,1950.0
1843,2210.0
1844,954.0
1845,13009.0
1846,7802.0
1847,3646.0
1848,4392.0
1849,9841.0
1850,9841.0
1851,-1.0
1852,28285.0
1853,28285.0
1854,28285.0
1855,-1.0
1856,-1.0
1857,-1.0
1858,-1.0
1859,-1.0
1860,-1.0
1861,-1.0
1862,-1.0
1863,4135.0
1864,4135.0
